Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Successful,Successful,,0,17,168,1,168,1,1,2021-01-02,168,SFOG4,UA,115,SFO,PPT,2023-04-20,13:20,G4,SFOG4,2021-01-02,1,151,0.89880952,1.0,1.0,0.89880952,1.0,1.0
Successful,Successful,,0,163,171,1,0,1,0,,171,SFOE2,UA,1145,SFO,CUN,2023-04-11,23:16,E2,,,1,8,0.04678363,1.0,1.0,,0.0,1.0
Successful,Successful,,0,38,173,1,173,1,1,2021-01-02,173,SFOG2,UA,926,SFO,FRA,2023-04-04,19:10,G2,SFOG2,2021-01-02,1,135,0.78034682,1.0,1.0,0.78034682,1.0,1.0
Successful,Successful,,0,1,188,1,188,1,1,2021-01-02,188,SFOG5,UA,1,SFO,SIN,2023-04-18,22:45,G5,SFOG5,2021-01-02,1,187,0.99468085,1.0,1.0,0.99468085,1.0,1.0
Successful,Successful,,0,22,165,1,165,1,1,2021-01-02,165,SFOG4,UA,837,SFO,NRT,2023-04-24,11:35,G4,SFOG4,2021-01-02,1,143,0.86666667,1.0,1.0,0.86666667,1.0,1.0
Successful,Successful,,0,9,217,1,217,1,1,2021-01-02,217,SFOG12,UA,875,SFO,HND,2023-04-16,10:45,G12,SFOG12,2021-01-02,1,208,0.95852535,1.0,1.0,0.95852535,1.0,1.0
Successful,Successful,,0,17,257,1,257,1,1,2021-01-02,257,SFOG6,UA,863,SFO,SYD,2023-04-03,22:45,G6,SFOG6,2021-01-02,1,240,0.93385214,1.0,1.0,0.93385214,1.0,1.0
Successful,Successful,,0,33,222,1,222,1,1,2021-01-02,222,SFOG5,UA,954,SFO,TLV,2023-04-07,19:50,G5,SFOG5,2021-01-02,1,189,0.85135135,1.0,1.0,0.85135135,1.0,1.0
Successful,Successful,,0,20,319,1,319,1,1,2021-01-02,319,SFOG7,UA,869,SFO,HKG,2023-04-26,12:45,G7,SFOG7,2021-01-02,1,299,0.93730408,1.0,1.0,0.93730408,1.0,1.0
Successful,Successful,,0,335,336,1,336,1,1,2021-01-02,336,SFOG7,UA,871,SFO,TPE,2023-04-08,14:00,G7,SFOG7,2021-01-02,1,1,0.00297619,1.0,1.0,0.00297619,1.0,1.0
Unsuccessful,,Unsuccessful,1,181,181,1,181,1,1,2021-01-02,181,SFOG6,UA,60,SFO,MEL,2023-04-04,23:20,G6,SFOG6,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,-3,210,1,210,1,1,2021-01-02,210,SFOG13,UA,863,SFO,SYD,2023-04-11,22:45,G13,SFOG13,2021-01-02,1,213,1.01428571,1.0,1.0,1.01428571,1.0,1.0
